104僅供職缺參考，若您對此職缺有興趣，請至本行「玉山菁英甄選網站」投遞履歷，如書審通過，後續將邀請您參加面談。謝謝！
【網址：https://esnhr.pse.is/394b2n】                                       台北市                                                                                                                                                                                                                                                              【個人金融】通路數據分析人員                                                                                                                                                                                                                                                   13472041             2                    25.0541591             121.5638621            []                                                                                                                                                                                                                                                               [4, 5]                                                                                                                                                                                                                                                           0                    0                    0                    08:30~17:30                                                                                                                                                                                                                                                      [2007001018, 2003001003, 2016001007]                                                                                                                                                                                                                             0
20250704             7                    會計服務業                                                                                                                                                                                                                                                            勤業眾信聯合會計師事務所                                                                                                                                                                                                                                                     本職務招聘需同時具備兩項專業：資料分析師、專案管理師。業務場域為金融科技與行銷科技之資料分析、資料分析模組程式設計、與專案管理。 
 
【資料分析師-工作內容】
‧	協助企業梳理需求與商業邏輯、建立數據與分析模型、視覺化解讀分析結果。 
‧	識別潛在AI 應用場景並規劃 AI 解決方案，協助企業達到流程改善、降本增效等商業目標。
‧	提供數據處理、建模、管理、與維運之相關建議與諮詢服務。
 
【專案管理師 -工作內容】 
‧	擬定專案管理計劃、驗收條件、溝通計劃、與進度報告等，專案管理相關議題。
‧	內外及 台北市                                                                                                                                                                                                                                                              【科技與轉型服務】數位轉型服務-數據分析資深顧問                                                                                                                                                                                                                                         12909229             2                    25.034403              121.5679504            ['資訊管理相關', '企業管理相關', '資訊工程相關']                                                                                                                                                                                                                                   [4, 5]                                                                                                                                                                                                                                                           0                    0                    0                    NULL                                                                                                                                                                                                                                                             [2018002001]                                                                                                                                                                                                                                                     0
20250710             3                    銀行業                                                                                                                                                                                                                                                              國泰世華商業銀行股份有限公司                                                                                                                                                                                                                                                   經驗，持續在東南亞市場打造高品質、創新的數位金融服務體驗。

「國際消金發展部」集結了金融及非金融領域的多元菁英，包括商業開發、網路科技、數據分析、數位行銷等專業人才。我們重視團隊合作文化，以實現東南亞金融生態圈為目標，深入了解世界各國金融服務文化                                                                                                                                     台中市                                                                                                                                                                                                                                                              【海外通路】資料科學家 (數數發，DDT)(台中)_I00008684                                                                                                                                                                                                                              13803165             2                    24.107787              120.6380936            []                                                                                                                                                                                                                                                               [1, 2, 3, 4, 5, 6]                                                                                                                                                                                                                                               0                    0                    0                    NULL                                                                                                                                                                                                                                                             [2007001021, 2007001018]                                                                                                                                                                                                                                         0
20250708             33                   網際網路相關業                                                                                                                                                                                                                                                          鈊象電子股份有限公司                                                                                                                                                                                                                                                       1.精通統計理論相關知識，並有數據分析實際經驗
2.能運用R或Python進行數據分析或具備相關分析經驗者
3.熟悉操作資料庫工具                                                                                                                                                                                                新北市                                                                                                                                                                                                                                                              數據分析師                                                                                                                                                                                                                                                            10911289             2                    25.0677777             121.452818             ['統計學相關', '應用數學相關', '資訊工程相關']                                                                                                                                                                                                                                    [4, 5, 6]                                                                                                                                                                                                                                                        0                    60000                30000                09:00~18:00                                                                                                                                                                                                                                                      [2007002002, 2007001004]                                                                                                                                                                                                                                         0
20250707             10                   藥品／化妝品及清潔用品零售業                                                                                                                                                                                                                                                   軒郁國際股份有限公司                                                                                                                                                                                                                                                       【工作內容與技能】
1. 資料中台專案：參與公司資料倉儲（Data Warehouse）、數據中台建置專案
2. 數據處理與數據管道：負責ETL 流程與數據管道與外部協力廠商合作釐清需求、設計資料流架構與驗證 ETL 資料品質
3. 平台管理：負責數據中台與數據解決方案
4. 數據應用與分析洞察：跨部門資料分析需求，協助設計商業指標與分析邏輯，進行資料建模、探索性分析等
5. 支援其他IT系統維運（新人類BPM、M365、鼎新COSMOS ERP、網路資安、BI...等）

【我們希望你具備這些特質】
1. 台北市                                                                                                                                                                                                                                                              數據應用工程師/數據分析師/數據科學家                                                                                                                                                                                                                                              14649247             2                    25.058795              121.5444173            []                                                                                                                                                                                                                                                               [3, 4, 5, 6]                                                                                                                                                                                                                                                     0                    0                    0                    NULL                                                                                                                                                                                                                                                             [2007001021, 2007001022, 2007001012]                                                                                                                                                                                                                             0
20250625             18                   其它軟體及網路相關業                                                                                                                                                                                                                                                       艾邁格股份有限公司                                                                                                                                                                                                                                                        Job Description
‧ Data analysis toward the performance of marketing activation
‧ Build insight and strategy against Brand's business target
‧ LINE OA & campaign performance review
‧ Creating BI dashboard and visualizing data
 
Skills Required
‧ Strong in E 台北市                                                                                                                                                                                                                                                              (Sr.) Data Analyst 數據分析師                                                                                                                                                                                                                                         13578099             0                    25.0481954             121.5534319            []                                                                                                                                                                                                                                                               [3, 4]                                                                                                                                                                                                                                                           2                    700000               500000               NULL                                                                                                                                                                                                                                                             [2007001018, 2004001010]                                                                                                                                                                                                                                         0
20250710             21                   百貨相關業                                                                                                                                                                                                                                                            DAISO_台灣大創百貨股份有限公司                                                                                                                                                                                                                                               【工作內容】
 1. 協助主管進行營運數據統計分析與定期報表製作，並維護報表的正確性。
 2. 熟悉 Excel 操作，能使用基本函數（如：VLOOKUP、SUMIFS、IF 等）與樞紐分析表處理資料、圖表製作。
 3. 熟悉Microsoft Office文書與簡報製作能力（Word /PowerPoint）。
 4. 有使用過 資料視覺化工具（如 Power BI）者加分。
 5. 其他主管交辦事項與協助等。                                                 台北市                                                                                                                                                                                                                                                              營運數據分析專員                                                                                                                                                                                                                                                         14699325             2                    25.0448871             121.515147             ['商業及管理學科類', '數理統計相關']                                                                                                                                                                                                                                           [3, 4]                                                                                                                                                                                                                                                           0                    35000                30000                0900-1800                                                                                                                                                                                                                                                        [2004001010]                                                                                                                                                                                                                                                     1
20250709             45                   運動服務業                                                                                                                                                                                                                                                            味全龍職業棒球隊_共享棒球股份有限公司                                                                                                                                                                                                                                              1. 資料分析與視覺化
(1)使用 SQL、Python 等工具，分析多元數據找出商業洞察
(2)建置並維護 BI 儀表板，追蹤行銷與營運指標

2. 經營策略與行銷分析
(1)提供經營決策所需之數據
(2)分析顧客行為與客群特性，協助客群經營
(3)分析活動、商品、廣告、社群成效，優化行銷決策

3. 專案管理與跨部門合作
(1)協助推動顧客經營、行銷自動化、AI應用導入等專案
(2)作為技術與需求間橋樑，負責需求釐清與推進專案進度

4. 其他主管交辦事項                         台北市                                                                                                                                                                                                                                                              數據分析專員                                                                                                                                                                                                                                                           14428372             2                    25.113337              121.5329854            ['資訊工程相關', '資訊管理相關', '數理統計相關']                                                                                                                                                                                                                                   [4, 5, 6]                                                                                                                                                                                                                                                        0                    0                    0                    NULL                                                                                                                                                                                                                                                             [2007001018, 2007002002, 2007001021]                                                                                                                                                                                                                             1
20250707             1                    汽車及其零件製造業                                                                                                                                                                                                                                                        鴻華先進科技股份有限公司                                                                                                                                                                                                                                                     1.	視覺影像分析/視覺影像處理
